estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_unpaired,0.7,1.0,95,10,knn,8,True,True,0.059231421582998045
rbf_combined,0.7,1.0,95,10,knn,8,True,True,0.04822059878851818
matcomplete,0.7,1.0,95,10,na,0,True,True,0.03610766209730212
rbf_paired,0.7,1.0,95,11,knn,8,True,True,0.05077411984822121
rbf_unpaired,0.7,1.0,95,11,knn,8,True,True,0.052623457235455105
rbf_combined,0.7,1.0,95,11,knn,8,True,True,0.03950283286079793
matcomplete,0.7,1.0,95,11,na,0,True,True,0.035981315050914904
rbf_paired,0.7,1.0,95,12,knn,8,True,True,0.06061035859708147
rbf_unpaired,0.7,1.0,95,12,knn,8,True,True,0.05092552596567063
rbf_combined,0.7,1.0,95,12,knn,8,True,True,0.035035267437917225
