estimator,obs_prob,seed,rmse
rbf_unpaired,0.9,20,0.276027631539791
rbf_combined,0.9,20,0.169084177595559
rbf_paired,0.9,21,0.1473335823916762
rbf_unpaired,0.9,21,0.26990510879242946
rbf_combined,0.9,21,0.15332188186320747
rbf_paired,0.9,22,0.21389154694005127
rbf_unpaired,0.9,22,0.3417908642205237
rbf_combined,0.9,22,0.16898434870748377
rbf_paired,0.9,23,0.19079147764522902
rbf_unpaired,0.9,23,0.32687905332363026
rbf_combined,0.9,23,0.17632967132876506
rbf_paired,0.9,24,0.20312142310550765
rbf_unpaired,0.9,24,0.3274296708883713
rbf_combined,0.9,24,0.19840548632563343
