estimator,obs_prob,query_obs_prob,n_models,seed,rmse
rbf_combined,0.3,1.0,95,7,0.24482206317834304
rbf_paired,0.3,1.0,95,8,0.30664539955304493
rbf_unpaired,0.3,1.0,95,8,0.32039453688580416
rbf_combined,0.3,1.0,95,8,0.23918748682641186
rbf_paired,0.3,1.0,95,9,0.2897492844224929
rbf_unpaired,0.3,1.0,95,9,0.2981850877207672
rbf_combined,0.3,1.0,95,9,0.2476225626778972
rbf_paired,0.3,1.0,95,10,0.2983798895215561
rbf_unpaired,0.3,1.0,95,10,0.30986487965590803
rbf_combined,0.3,1.0,95,10,0.2512382111183925
rbf_paired,0.3,1.0,95,11,0.30757157249168904
rbf_unpaired,0.3,1.0,95,11,0.30222457981679673
rbf_combined,0.3,1.0,95,11,0.23872744268629453
rbf_paired,0.3,1.0,95,12,0.30340581952814644
rbf_unpaired,0.3,1.0,95,12,0.30851552228594425
rbf_combined,0.3,1.0,95,12,0.2441686121395985
rbf_paired,0.3,1.0,95,13,0.32604268824964255
rbf_unpaired,0.3,1.0,95,13,0.31577311488688187
rbf_combined,0.3,1.0,95,13,0.24583547550572188
rbf_paired,0.3,1.0,95,14,0.31319569728408747
rbf_unpaired,0.3,1.0,95,14,0.3118273738463579
rbf_combined,0.3,1.0,95,14,0.22644703899084045
rbf_paired,0.3,1.0,95,15,0.2971312793952514
rbf_unpaired,0.3,1.0,95,15,0.29588319704576305
rbf_combined,0.3,1.0,95,15,0.2387993341855668
rbf_paired,0.3,1.0,95,16,0.32670527078815714
rbf_unpaired,0.3,1.0,95,16,0.3160597822595806
rbf_combined,0.3,1.0,95,16,0.24917038465428856
rbf_paired,0.3,1.0,95,17,0.313545206430781
rbf_unpaired,0.3,1.0,95,17,0.30962047738820214
rbf_combined,0.3,1.0,95,17,0.24229092667823224
rbf_paired,0.3,1.0,95,18,0.31625369770340656
rbf_unpaired,0.3,1.0,95,18,0.31225842124487685
rbf_combined,0.3,1.0,95,18,0.2466113016467152
rbf_paired,0.3,1.0,95,19,0.3061829169752301
rbf_unpaired,0.3,1.0,95,19,0.30044205867425217
rbf_combined,0.3,1.0,95,19,0.2575969834724065
rbf_paired,0.3,1.0,95,20,0.2947809000490446
rbf_unpaired,0.3,1.0,95,20,0.3063319210845152
rbf_combined,0.3,1.0,95,20,0.24111824952987246
rbf_paired,0.3,1.0,95,21,0.3193513322131101
rbf_unpaired,0.3,1.0,95,21,0.31136791935983466
rbf_combined,0.3,1.0,95,21,0.2473964598462959
rbf_paired,0.3,1.0,95,22,0.30633587317748107
rbf_unpaired,0.3,1.0,95,22,0.2982038684563704
rbf_combined,0.3,1.0,95,22,0.2362796107479237
rbf_paired,0.3,1.0,95,23,0.29998581135718244
rbf_unpaired,0.3,1.0,95,23,0.31882199102549397
rbf_combined,0.3,1.0,95,23,0.2649367681013688
rbf_paired,0.3,1.0,95,24,0.3183091161970083
rbf_unpaired,0.3,1.0,95,24,0.30012258224825406
rbf_combined,0.3,1.0,95,24,0.2517369398544785
