m_p,m_u,seed,estimator,mse
25,10,25,unpaired,0.29517894745809486
25,10,25,combined,0.0345826901230764
25,10,25,pooled,0.021115222601457328
25,10,26,paired,0.014585636173502869
25,10,26,unpaired,0.3524806981672562
25,10,26,combined,0.05174292263873054
25,10,26,pooled,0.04183241978546947
25,10,27,paired,0.009282142231171837
25,10,27,unpaired,0.23981899608631435
25,10,27,combined,0.024186694311074945
25,10,27,pooled,0.01714644825119299
25,10,28,paired,0.010463142588346798
25,10,28,unpaired,0.17568759923929597
25,10,28,combined,0.01751873112647854
25,10,28,pooled,0.022312733404816123
25,10,29,paired,0.03611647922602219
25,10,29,unpaired,0.3173715993688652
25,10,29,combined,0.05313641943805543
25,10,29,pooled,0.047490752735751485
25,10,30,paired,0.01693600098218971
25,10,30,unpaired,0.2875625119316315
25,10,30,combined,0.03507249062757136
25,10,30,pooled,0.025991090482438875
25,10,31,paired,0.017102836020367055
25,10,31,unpaired,0.2042214052559475
25,10,31,combined,0.017463556005380097
25,10,31,pooled,0.019933979045341197
25,10,32,paired,0.020074947996458734
25,10,32,unpaired,0.2372509090895381
25,10,32,combined,0.03758689598570151
25,10,32,pooled,0.03223739980318741
25,10,33,paired,0.011379654606833963
25,10,33,unpaired,0.2785369777204399
25,10,33,combined,0.03657646310285278
25,10,33,pooled,0.02289249751983337
25,10,34,paired,0.007653565968981441
25,10,34,unpaired,0.16869779278493993
25,10,34,combined,0.021902933446384026
25,10,34,pooled,0.01737586884160828
25,10,35,paired,0.019299912220337147
25,10,35,unpaired,0.4209212809315469
25,10,35,combined,0.043074705457589686
25,10,35,pooled,0.0358149826420174
25,10,36,paired,0.007428246392327491
25,10,36,unpaired,0.1507106978033908
25,10,36,combined,0.020807658460970855
25,10,36,pooled,0.02162807204267195
25,10,37,paired,0.022120339341043363
25,10,37,unpaired,0.17138551109972971
25,10,37,combined,0.02203711494411541
25,10,37,pooled,0.023369491092639576
25,10,38,paired,0.009866597154920534
25,10,38,unpaired,0.21264657283095634
25,10,38,combined,0.030285806932327634
25,10,38,pooled,0.02231084470936153
25,10,39,paired,0.007470337863499997
25,10,39,unpaired,0.1940193793179288
25,10,39,combined,0.019955817324413563
25,10,39,pooled,0.026194014862830024
25,10,40,paired,0.006753211098722353
25,10,40,unpaired,0.30753006141237316
25,10,40,combined,0.030270365408282873
25,10,40,pooled,0.02303586381134979
25,10,41,paired,0.028860663250154777
25,10,41,unpaired,0.17995577699464627
25,10,41,combined,0.029023999932699652
25,10,41,pooled,0.028428888100661093
25,10,42,paired,0.00887654179167195
25,10,42,unpaired,0.3487239363432688
25,10,42,combined,0.04236370070821026
25,10,42,pooled,0.03262490280498991
25,10,43,paired,0.008903079056787128
25,10,43,unpaired,0.34469726311216875
25,10,43,combined,0.03832073541685157
25,10,43,pooled,0.026124909966717028
25,10,44,paired,0.0063293244506183195
25,10,44,unpaired,0.19759089274828603
25,10,44,combined,0.021581827107905165
25,10,44,pooled,0.020902887088233204
25,10,45,paired,0.008808447691150795
25,10,45,unpaired,0.227626147302746
25,10,45,combined,0.02382255613708182
25,10,45,pooled,0.027459328879917196
25,10,46,paired,0.005584924164461562
25,10,46,unpaired,0.24555788935526243
25,10,46,combined,0.0271742848998808
25,10,46,pooled,0.018443877971694323
25,10,47,paired,0.006318408710768218
25,10,47,unpaired,0.17250045125895325
25,10,47,combined,0.018332177747279972
25,10,47,pooled,0.027660747522905222
25,10,48,paired,0.016926547726217597
25,10,48,unpaired,0.3381625766882773
25,10,48,combined,0.035201346110566044
25,10,48,pooled,0.042389888610111816
25,10,49,paired,0.01372315680697384
25,10,49,unpaired,0.29835903733258545
25,10,49,combined,0.03530468920191825
25,10,49,pooled,0.025969565351024675
25,25,0,paired,0.020446194191033207
25,25,0,unpaired,0.059554893189843985
25,25,0,combined,0.024544798363349253
25,25,0,pooled,0.03194757107387041
25,25,1,paired,0.009804083626030354
25,25,1,unpaired,0.08398527048471549
25,25,1,combined,0.026825351889810427
25,25,1,pooled,0.031244439461342113
25,25,2,paired,0.013979737631781137
25,25,2,unpaired,0.06393513254956039
25,25,2,combined,0.02213107185980855
25,25,2,pooled,0.026146218397415825
25,25,3,paired,0.0172829212380234
25,25,3,unpaired,0.07272536443609876
25,25,3,combined,0.026314965087349772
25,25,3,pooled,0.02898682145366229
25,25,4,paired,0.016823302990803295
25,25,4,unpaired,0.17407500647023158
25,25,4,combined,0.05501335433271208
25,25,4,pooled,0.03911041368186084
25,25,5,paired,0.007190017654820461
25,25,5,unpaired,0.08778464071751955
25,25,5,combined,0.020026850227497506
25,25,5,pooled,0.026891865609368286
25,25,6,paired,0.017231657116628454
25,25,6,unpaired,0.06520608331416902
25,25,6,combined,0.021344405052268065
25,25,6,pooled,0.023568230113688214
25,25,7,paired,0.020020125214157688
25,25,7,unpaired,0.06664298841055756
25,25,7,combined,0.015989388580927726
25,25,7,pooled,0.014506027537378311
25,25,8,paired,0.014844462237783369
25,25,8,unpaired,0.08539895374474402
25,25,8,combined,0.023782678788694306
25,25,8,pooled,0.02436894410803337
25,25,9,paired,0.008938543779180618
25,25,9,unpaired,0.0878742795958321
25,25,9,combined,0.02328744642445338
25,25,9,pooled,0.022802859200540666
25,25,10,paired,0.049640825613386536
25,25,10,unpaired,0.08708793015911022
25,25,10,combined,0.03945517935903862
25,25,10,pooled,0.03162364054619806
25,25,11,paired,0.04044321692337426
25,25,11,unpaired,0.09400007692450109
25,25,11,combined,0.04640184868956781
25,25,11,pooled,0.04826967554801633
25,25,12,paired,0.021102113026379522
25,25,12,unpaired,0.08217330606509936
25,25,12,combined,0.021489157072885096
25,25,12,pooled,0.02016352862109721
25,25,13,paired,0.007509348735082327
25,25,13,unpaired,0.08770722061572218
25,25,13,combined,0.02507353868079598
25,25,13,pooled,0.017825480552077246
25,25,14,paired,0.012625936018179495
25,25,14,unpaired,0.13902850710437858
25,25,14,combined,0.03188639798092372
25,25,14,pooled,0.024665608725712128
25,25,15,paired,0.011511347123152365
25,25,15,unpaired,0.11503584119047898
25,25,15,combined,0.025009740987293593
25,25,15,pooled,0.023578768093085088
25,25,16,paired,0.010535722583104517
25,25,16,unpaired,0.06389819205817499
25,25,16,combined,0.017941160351087723
25,25,16,pooled,0.01987970956805775
25,25,17,paired,0.030492438002481356
25,25,17,unpaired,0.09990819953637542
25,25,17,combined,0.03603723151690881
25,25,17,pooled,0.039198433088847524
25,25,18,paired,0.008096987879525872
25,25,18,unpaired,0.0963115700076508
