experiment,estimator,mae,seed,obs_prob
task_parity,rbf_paired,1.7928910402741711,28,0.2
task_parity,rbf_unpaired,1.36019160523859,28,0.2
task_parity,rbf_combined,1.2200902651697265,28,0.2
task_parity,rbf_paired,1.705974032581991,29,0.2
task_parity,rbf_unpaired,1.3984533238788976,29,0.2
task_parity,rbf_combined,1.1647845973123983,29,0.2
task_parity,rbf_paired,1.8676146517597265,30,0.2
task_parity,rbf_unpaired,1.391743542673564,30,0.2
task_parity,rbf_combined,1.2760410189638622,30,0.2
task_parity,rbf_paired,1.9995877450541992,31,0.2
task_parity,rbf_unpaired,1.5889488771682607,31,0.2
task_parity,rbf_combined,1.3829667880213106,31,0.2
task_parity,rbf_paired,1.6778820939324668,32,0.2
task_parity,rbf_unpaired,1.2780323100728792,32,0.2
task_parity,rbf_combined,1.1312274075436022,32,0.2
task_parity,rbf_paired,1.8228141425884972,33,0.2
task_parity,rbf_unpaired,1.5917678425855553,33,0.2
task_parity,rbf_combined,1.3376960027433442,33,0.2
task_parity,rbf_paired,1.8653345542567965,34,0.2
task_parity,rbf_unpaired,1.4662689549645667,34,0.2
task_parity,rbf_combined,1.348787076480323,34,0.2
task_parity,rbf_paired,1.757971596229302,35,0.2
task_parity,rbf_unpaired,1.3299566453958398,35,0.2
task_parity,rbf_combined,1.2212818218731922,35,0.2
task_parity,rbf_paired,1.5317899590089166,36,0.2
task_parity,rbf_unpaired,1.211481930037375,36,0.2
task_parity,rbf_combined,1.0410536770794485,36,0.2
task_parity,rbf_paired,1.6997711274146918,37,0.2
task_parity,rbf_unpaired,1.2135287888734194,37,0.2
task_parity,rbf_combined,1.1337126486931055,37,0.2
task_parity,rbf_paired,1.5996955716320485,38,0.2
task_parity,rbf_unpaired,1.1638485656138526,38,0.2
task_parity,rbf_combined,1.0914655958279207,38,0.2
task_parity,rbf_paired,1.8466270718700053,39,0.2
task_parity,rbf_unpaired,1.473419964690255,39,0.2
task_parity,rbf_combined,1.3104837562674638,39,0.2
task_parity,rbf_paired,1.966896364040041,40,0.2
task_parity,rbf_unpaired,1.7285551822740484,40,0.2
task_parity,rbf_combined,1.367944285807898,40,0.2
task_parity,rbf_paired,2.051583816106023,41,0.2
task_parity,rbf_unpaired,1.538871991063916,41,0.2
task_parity,rbf_combined,1.4545520269726093,41,0.2
task_parity,rbf_paired,1.8529465986740628,42,0.2
task_parity,rbf_unpaired,1.7114228481823064,42,0.2
task_parity,rbf_combined,1.3675365523032417,42,0.2
task_parity,rbf_paired,1.77143170697197,43,0.2
task_parity,rbf_unpaired,1.3132251244619368,43,0.2
task_parity,rbf_combined,1.1583371736433532,43,0.2
task_parity,rbf_paired,1.8774121150021141,44,0.2
task_parity,rbf_unpaired,1.5520672248987346,44,0.2
task_parity,rbf_combined,1.293669887173139,44,0.2
task_parity,rbf_paired,2.0717324792254397,45,0.2
task_parity,rbf_unpaired,1.5816612906284533,45,0.2
task_parity,rbf_combined,1.5665798389317322,45,0.2
task_parity,rbf_paired,1.7666817649303932,46,0.2
task_parity,rbf_unpaired,1.284775162581061,46,0.2
task_parity,rbf_combined,1.256677592203475,46,0.2
task_parity,rbf_paired,1.576077182822866,47,0.2
task_parity,rbf_unpaired,1.2278685274455066,47,0.2
task_parity,rbf_combined,1.1262399200283781,47,0.2
task_parity,rbf_paired,1.8174125358239035,48,0.2
task_parity,rbf_unpaired,1.5382552298115133,48,0.2
task_parity,rbf_combined,1.3360513785148542,48,0.2
task_parity,rbf_paired,1.7751832170592343,49,0.2
task_parity,rbf_unpaired,1.3913490130950121,49,0.2
task_parity,rbf_combined,1.2522049905960113,49,0.2
task_parity,rbf_paired,1.563761867838416,0,0.3
task_parity,rbf_unpaired,1.130465624394971,0,0.3
