experiment,estimator,rmse,seed,n_models
n_models,rbf_unpaired,1.892647867654072,1,100
n_models,rbf_combined,1.6849635330009762,1,100
n_models,rbf_paired,2.028248844309251,2,100
n_models,rbf_unpaired,1.7223042040923608,2,100
n_models,rbf_combined,1.332907811629474,2,100
n_models,rbf_paired,2.1220840273713777,3,100
n_models,rbf_unpaired,1.7595357068575277,3,100
n_models,rbf_combined,1.480394408746665,3,100
n_models,rbf_paired,2.219512373992786,4,100
n_models,rbf_unpaired,1.7157008066158543,4,100
n_models,rbf_combined,1.5121814386818155,4,100
n_models,rbf_paired,2.1696671408364976,5,100
n_models,rbf_unpaired,1.6492594635073243,5,100
n_models,rbf_combined,1.571933448146147,5,100
n_models,rbf_paired,2.2080271966724423,6,100
n_models,rbf_unpaired,1.6348567750333198,6,100
n_models,rbf_combined,1.4502050267107576,6,100
n_models,rbf_paired,1.780656925014639,7,100
n_models,rbf_unpaired,1.3852295169203506,7,100
n_models,rbf_combined,1.2249693432662825,7,100
n_models,rbf_paired,2.365114912824943,8,100
n_models,rbf_unpaired,1.9087061454277112,8,100
n_models,rbf_combined,1.6138923511909176,8,100
n_models,rbf_paired,2.371636491831297,9,100
n_models,rbf_unpaired,1.776798912859656,9,100
n_models,rbf_combined,1.54535563795117,9,100
n_models,rbf_paired,2.3739366687015715,10,100
n_models,rbf_unpaired,1.7605723354075902,10,100
n_models,rbf_combined,1.4942836732558396,10,100
n_models,rbf_paired,2.0318231177435098,11,100
n_models,rbf_unpaired,1.653162916348755,11,100
n_models,rbf_combined,1.4667344509570632,11,100
n_models,rbf_paired,2.3749896191862527,12,100
n_models,rbf_unpaired,2.269517381917258,12,100
n_models,rbf_combined,1.5279153800874592,12,100
n_models,rbf_paired,2.6573006776550407,13,100
n_models,rbf_unpaired,2.3118605376927306,13,100
n_models,rbf_combined,1.7702635144809675,13,100
n_models,rbf_paired,2.2839984848921406,14,100
n_models,rbf_unpaired,1.7099351808558323,14,100
n_models,rbf_combined,1.55341785485287,14,100
n_models,rbf_paired,2.135575628108364,15,100
n_models,rbf_unpaired,1.520380433579455,15,100
n_models,rbf_combined,1.4528977121633548,15,100
n_models,rbf_paired,2.003344127543349,16,100
n_models,rbf_unpaired,1.5816460429306656,16,100
n_models,rbf_combined,1.3985582857873666,16,100
n_models,rbf_paired,2.132783423357622,17,100
n_models,rbf_unpaired,1.804117410677868,17,100
n_models,rbf_combined,1.4549765712282052,17,100
n_models,rbf_paired,2.380842166346489,18,100
n_models,rbf_unpaired,1.9663178341366925,18,100
n_models,rbf_combined,1.875101585418064,18,100
n_models,rbf_paired,2.2265633159724367,19,100
n_models,rbf_unpaired,1.9278908285604108,19,100
n_models,rbf_combined,1.6460908380033212,19,100
n_models,rbf_paired,2.193621286031735,20,100
n_models,rbf_unpaired,1.755891621307073,20,100
n_models,rbf_combined,1.5696476555992251,20,100
n_models,rbf_paired,2.335321795154078,21,100
n_models,rbf_unpaired,2.027498403390892,21,100
n_models,rbf_combined,1.6445794397941311,21,100
n_models,rbf_paired,2.316934452293268,22,100
n_models,rbf_unpaired,1.9305577880718767,22,100
n_models,rbf_combined,1.6358226120154995,22,100
n_models,rbf_paired,2.3011366108122946,23,100
n_models,rbf_unpaired,1.6724376477376586,23,100
n_models,rbf_combined,1.4605315746328162,23,100
n_models,rbf_paired,2.322273964658703,24,100
n_models,rbf_unpaired,1.8568264609554448,24,100
n_models,rbf_combined,1.5755613605280536,24,100
n_models,rbf_paired,2.325225771691279,25,100
n_models,rbf_unpaired,1.812003601345884,25,100
n_models,rbf_combined,1.658514119867463,25,100
n_models,rbf_paired,2.248528240634572,26,100
n_models,rbf_unpaired,1.900530683683675,26,100
n_models,rbf_combined,1.6035747197864263,26,100
n_models,rbf_paired,2.060284340271682,27,100
n_models,rbf_unpaired,1.5940123124759296,27,100
n_models,rbf_combined,1.4516612754129194,27,100
n_models,rbf_paired,2.2128101203490904,28,100
n_models,rbf_unpaired,1.4917548805956966,28,100
n_models,rbf_combined,1.357331394415993,28,100
n_models,rbf_paired,2.131390600013981,29,100
n_models,rbf_unpaired,1.6063009703348707,29,100
n_models,rbf_combined,1.4599000587335558,29,100
n_models,rbf_paired,2.282447515611705,30,100
n_models,rbf_unpaired,1.6965323679043427,30,100
n_models,rbf_combined,1.5859266377000822,30,100
n_models,rbf_paired,2.6312734630259635,31,100
n_models,rbf_unpaired,2.0142866814530493,31,100
n_models,rbf_combined,1.6767939972544323,31,100
n_models,rbf_paired,2.079888276467336,32,100
n_models,rbf_unpaired,1.6602403438762294,32,100
n_models,rbf_combined,1.356932300159536,32,100
n_models,rbf_paired,2.201373263937603,33,100
n_models,rbf_unpaired,1.9018921792946744,33,100
n_models,rbf_combined,1.5278393364078282,33,100
n_models,rbf_paired,2.168111535605492,34,100
n_models,rbf_unpaired,1.7018227167929632,34,100
n_models,rbf_combined,1.6148187724611065,34,100
n_models,rbf_paired,2.1607764279996475,35,100
n_models,rbf_unpaired,1.6842631451143082,35,100
n_models,rbf_combined,1.469429300847928,35,100
n_models,rbf_paired,1.878621942956036,36,100
n_models,rbf_unpaired,1.359273490572107,36,100
n_models,rbf_combined,1.250012095764666,36,100
