experiment,estimator,mae,seed,n_tasks
n_tasks,rbf_paired,1.35545968802925,14,30
n_tasks,rbf_unpaired,1.1994645520428047,14,30
n_tasks,rbf_combined,1.1372748770208194,14,30
n_tasks,rbf_paired,1.3445302817404057,15,30
n_tasks,rbf_unpaired,1.145609521931719,15,30
n_tasks,rbf_combined,1.0651439924577393,15,30
n_tasks,rbf_paired,1.2630431290588382,16,30
n_tasks,rbf_unpaired,0.9899711920820251,16,30
n_tasks,rbf_combined,0.9315631262623739,16,30
n_tasks,rbf_paired,1.2009422264207594,17,30
n_tasks,rbf_unpaired,0.9603475390430313,17,30
n_tasks,rbf_combined,0.912553286441706,17,30
n_tasks,rbf_paired,1.3862132210297475,18,30
n_tasks,rbf_unpaired,1.25746965335254,18,30
n_tasks,rbf_combined,1.1606818283706295,18,30
n_tasks,rbf_paired,1.2774958495954714,19,30
n_tasks,rbf_unpaired,1.0946873486712296,19,30
n_tasks,rbf_combined,1.0202888590680559,19,30
n_tasks,rbf_paired,1.259022617202116,20,30
n_tasks,rbf_unpaired,1.1319321567994889,20,30
n_tasks,rbf_combined,1.0576174428322604,20,30
n_tasks,rbf_paired,1.271325727811533,21,30
n_tasks,rbf_unpaired,1.106270929556588,21,30
n_tasks,rbf_combined,1.0293813087094472,21,30
n_tasks,rbf_paired,1.1741483272175606,22,30
n_tasks,rbf_unpaired,1.1188329123909637,22,30
n_tasks,rbf_combined,1.0479780179668354,22,30
n_tasks,rbf_paired,1.1860171724673387,23,30
n_tasks,rbf_unpaired,1.0562517472840012,23,30
n_tasks,rbf_combined,0.9777172970125946,23,30
n_tasks,rbf_paired,1.3120538642318813,24,30
n_tasks,rbf_unpaired,1.0645797553591334,24,30
n_tasks,rbf_combined,0.9703095717992258,24,30
