experiment,estimator,mae,seed,query_obs_prob
query_sparsity,rbf_combined,1.1231584073280532,35,0.3
query_sparsity,rbf_paired,1.4707077893264784,36,0.3
query_sparsity,rbf_unpaired,1.1156740249864023,36,0.3
query_sparsity,rbf_combined,0.9340273198641462,36,0.3
query_sparsity,rbf_paired,1.6617856905333672,37,0.3
query_sparsity,rbf_unpaired,1.2878670221989115,37,0.3
query_sparsity,rbf_combined,1.0931575109330687,37,0.3
query_sparsity,rbf_paired,1.5518858323028442,38,0.3
query_sparsity,rbf_unpaired,1.1856623619526625,38,0.3
query_sparsity,rbf_combined,0.9863786253887581,38,0.3
query_sparsity,rbf_paired,1.7762863855693585,39,0.3
query_sparsity,rbf_unpaired,1.2317094606227332,39,0.3
query_sparsity,rbf_combined,1.1635663790421344,39,0.3
query_sparsity,rbf_paired,1.7923154615412737,40,0.3
query_sparsity,rbf_unpaired,1.2927269400594836,40,0.3
query_sparsity,rbf_combined,1.2210807637040375,40,0.3
query_sparsity,rbf_paired,2.034156898914893,41,0.3
query_sparsity,rbf_unpaired,1.389785249328615,41,0.3
query_sparsity,rbf_combined,1.2796734492140782,41,0.3
query_sparsity,rbf_paired,1.6831464833684895,42,0.3
query_sparsity,rbf_unpaired,1.2781342426110898,42,0.3
query_sparsity,rbf_combined,1.1620765168434775,42,0.3
query_sparsity,rbf_paired,1.7810131105507396,43,0.3
query_sparsity,rbf_unpaired,1.2711621466168215,43,0.3
query_sparsity,rbf_combined,1.1168274939294043,43,0.3
query_sparsity,rbf_paired,1.7525448431457944,44,0.3
query_sparsity,rbf_unpaired,1.3346072433081622,44,0.3
query_sparsity,rbf_combined,1.1083808899492522,44,0.3
query_sparsity,rbf_paired,2.005842126675246,45,0.3
query_sparsity,rbf_unpaired,1.5082111885554852,45,0.3
query_sparsity,rbf_combined,1.4689303521916737,45,0.3
query_sparsity,rbf_paired,1.641248027975763,46,0.3
query_sparsity,rbf_unpaired,1.3116644573079292,46,0.3
query_sparsity,rbf_combined,1.1870010786790572,46,0.3
query_sparsity,rbf_paired,1.5783122742890594,47,0.3
query_sparsity,rbf_unpaired,1.3526534556660215,47,0.3
query_sparsity,rbf_combined,1.0484967745888594,47,0.3
query_sparsity,rbf_paired,1.7607804387481667,48,0.3
query_sparsity,rbf_unpaired,1.3956973252699645,48,0.3
query_sparsity,rbf_combined,1.2381521566755793,48,0.3
query_sparsity,rbf_paired,1.6828375900747934,49,0.3
query_sparsity,rbf_unpaired,1.20037633284861,49,0.3
query_sparsity,rbf_combined,1.0942581783325522,49,0.3
query_sparsity,rbf_paired,1.5470768677254212,0,0.5
query_sparsity,rbf_unpaired,1.1519740739593902,0,0.5
query_sparsity,rbf_combined,1.0780752654967922,0,0.5
query_sparsity,rbf_paired,1.7114724950044742,1,0.5
query_sparsity,rbf_unpaired,1.3690568270699268,1,0.5
query_sparsity,rbf_combined,1.2330068400973915,1,0.5
query_sparsity,rbf_paired,1.5398370925717253,2,0.5
query_sparsity,rbf_unpaired,1.2552764325082022,2,0.5
query_sparsity,rbf_combined,0.9955029709895162,2,0.5
query_sparsity,rbf_paired,1.5371970251388887,3,0.5
query_sparsity,rbf_unpaired,1.313718642395525,3,0.5
query_sparsity,rbf_combined,1.0382790764551317,3,0.5
query_sparsity,rbf_paired,1.6888765084969621,4,0.5
query_sparsity,rbf_unpaired,1.1906957220592642,4,0.5
query_sparsity,rbf_combined,1.1138635855443426,4,0.5
query_sparsity,rbf_paired,1.6950188549134548,5,0.5
query_sparsity,rbf_unpaired,1.3047720315298945,5,0.5
query_sparsity,rbf_combined,1.1389833488783125,5,0.5
query_sparsity,rbf_paired,1.5975765591514122,6,0.5
query_sparsity,rbf_unpaired,1.0575771893977994,6,0.5
query_sparsity,rbf_combined,1.0288144063277394,6,0.5
