experiment,estimator,rmse,seed,task_spread
task_spread,rbf_unpaired,0.7174119351052185,16,0.5
task_spread,rbf_combined,0.640904411385964,16,0.5
task_spread,rbf_paired,1.0729489241698251,17,0.5
task_spread,rbf_unpaired,0.8608532720430035,17,0.5
task_spread,rbf_combined,0.6872115955315047,17,0.5
task_spread,rbf_paired,1.1983170829176963,18,0.5
task_spread,rbf_unpaired,0.8865636036049972,18,0.5
task_spread,rbf_combined,0.8508341654583175,18,0.5
task_spread,rbf_paired,1.1203921295985961,19,0.5
task_spread,rbf_unpaired,0.7819157422216176,19,0.5
task_spread,rbf_combined,0.7476881382189847,19,0.5
task_spread,rbf_paired,1.100508616259532,20,0.5
task_spread,rbf_unpaired,0.8398941813997561,20,0.5
task_spread,rbf_combined,0.7362207345414767,20,0.5
task_spread,rbf_paired,1.1774893526372636,21,0.5
task_spread,rbf_unpaired,0.9776090006536247,21,0.5
task_spread,rbf_combined,0.7516972100312203,21,0.5
task_spread,rbf_paired,1.162465247661982,22,0.5
task_spread,rbf_unpaired,0.9061659992307666,22,0.5
task_spread,rbf_combined,0.7465592739969503,22,0.5
task_spread,rbf_paired,1.1578424482496907,23,0.5
task_spread,rbf_unpaired,0.8034045912871575,23,0.5
task_spread,rbf_combined,0.6663685397712108,23,0.5
task_spread,rbf_paired,1.1642367332960728,24,0.5
task_spread,rbf_unpaired,0.8356447735272337,24,0.5
task_spread,rbf_combined,0.7432214795802605,24,0.5
task_spread,rbf_paired,1.1687334620802279,25,0.5
task_spread,rbf_unpaired,0.8398245162264283,25,0.5
task_spread,rbf_combined,0.7690619717432909,25,0.5
task_spread,rbf_paired,1.1314565120030118,26,0.5
task_spread,rbf_unpaired,0.873918454128893,26,0.5
task_spread,rbf_combined,0.7465773136974323,26,0.5
task_spread,rbf_paired,1.0412712304168112,27,0.5
task_spread,rbf_unpaired,0.7144223632428324,27,0.5
task_spread,rbf_combined,0.6636902694583845,27,0.5
task_spread,rbf_paired,1.1078986629263343,28,0.5
task_spread,rbf_unpaired,0.7105761558589142,28,0.5
task_spread,rbf_combined,0.6341869166856412,28,0.5
task_spread,rbf_paired,1.0713788305220873,29,0.5
task_spread,rbf_unpaired,0.7943172959186116,29,0.5
task_spread,rbf_combined,0.6905570477371858,29,0.5
task_spread,rbf_paired,1.1468417392628811,30,0.5
task_spread,rbf_unpaired,0.7635673014101055,30,0.5
task_spread,rbf_combined,0.7170302777717281,30,0.5
task_spread,rbf_paired,1.3163277123107764,31,0.5
task_spread,rbf_unpaired,0.9672398000734623,31,0.5
task_spread,rbf_combined,0.7608375237513341,31,0.5
task_spread,rbf_paired,1.0427200973867565,32,0.5
task_spread,rbf_unpaired,0.7819214292803119,32,0.5
task_spread,rbf_combined,0.615136300132469,32,0.5
task_spread,rbf_paired,1.1109958159806086,33,0.5
task_spread,rbf_unpaired,0.8627815364493427,33,0.5
task_spread,rbf_combined,0.6856436397662486,33,0.5
task_spread,rbf_paired,1.087089522039072,34,0.5
task_spread,rbf_unpaired,0.7853695059775788,34,0.5
