obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,93,32,1,combined,0.15769951817096647,knn,0.2
0.4,93,32,1,matcomplete,0.10305017047311969,knn,0.2
0.4,93,32,1,ensemble,0.10347956199869114,knn,0.2
0.4,93,32,2,combined,0.14759343250313472,knn,0.15000000000000002
0.4,93,32,2,matcomplete,0.10680143406206453,knn,0.15000000000000002
0.4,93,32,2,ensemble,0.10577549141472596,knn,0.15000000000000002
0.4,93,32,3,combined,0.1419700746295161,knn,0.15000000000000002
0.4,93,32,3,matcomplete,0.10217264382058949,knn,0.15000000000000002
0.4,93,32,3,ensemble,0.09870452993732948,knn,0.15000000000000002
0.4,93,32,4,combined,0.1400470600831372,knn,0.2
0.4,93,32,4,matcomplete,0.11323689266163299,knn,0.2
0.4,93,32,4,ensemble,0.10915840708571445,knn,0.2
0.4,93,32,5,combined,0.1386978716292316,knn,0.2
0.4,93,32,5,matcomplete,0.1100887484607176,knn,0.2
0.4,93,32,5,ensemble,0.10674281641609927,knn,0.2
0.4,93,32,6,combined,0.1457283229560601,knn,0.15000000000000002
0.4,93,32,6,matcomplete,0.1057765504510405,knn,0.15000000000000002
0.4,93,32,6,ensemble,0.104001650515927,knn,0.15000000000000002
0.4,93,32,7,combined,0.14849267927700463,knn,0.2
0.4,93,32,7,matcomplete,0.11360050540645386,knn,0.2
0.4,93,32,7,ensemble,0.10994894238401179,knn,0.2
0.4,93,32,8,combined,0.1369493343159115,knn,0.25
0.4,93,32,8,matcomplete,0.09900585558652034,knn,0.25
0.4,93,32,8,ensemble,0.09751903358235357,knn,0.25
0.4,93,32,9,combined,0.14117635755955368,knn,0.2
0.4,93,32,9,matcomplete,0.10496380528926255,knn,0.2
0.4,93,32,9,ensemble,0.10240849833810063,knn,0.2
0.4,93,32,10,combined,0.13523410165548488,knn,0.25
0.4,93,32,10,matcomplete,0.1076543971878692,knn,0.25
0.4,93,32,10,ensemble,0.10208681798615822,knn,0.25
0.4,93,32,11,combined,0.1423887357365373,knn,0.2
0.4,93,32,11,matcomplete,0.10664310577620949,knn,0.2
0.4,93,32,11,ensemble,0.1035431848985244,knn,0.2
